"current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff","humidity","cloudiness","wind_speed","weather_description","current_luminosity","time"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.6976744186046511,-1.0,-1.0,-0.5555555555555556,-1.0,"2018-08-01T00:00:00.0"
0.36842105263157876,-0.75,-0.5348837209302326,-0.9323220536756126,0.6923076923076916,-0.9421296296296297,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,-1.0,"2018-08-01T01:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,1.0,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0,"2018-08-01T02:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,-1.0,"2018-08-01T03:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.8372093023255811,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0,"2018-08-01T04:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.8372093023255811,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0,"2018-08-01T05:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,-1.0,"2018-08-01T06:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,1.0,-1.0,-1.0,-0.5555555555555556,1.0,"2018-08-01T07:00:00.0"
0.7368421052631577,-0.5,-0.813953488372093,-0.9626604434072346,0.5384615384615383,-0.9675925925925926,0.48837209302325557,-0.48,-0.5384615384615384,-0.4444444444444444,0.0,"2018-08-01T08:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.3720930232558137,-1.0,-0.6923076923076923,-0.5555555555555556,1.0,"2018-08-01T09:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.2790697674418603,-1.0,-0.6923076923076923,-0.5555555555555556,1.0,"2018-08-01T10:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.16279069767441845,-1.0,-0.5384615384615384,-0.5555555555555556,1.0,"2018-08-01T11:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.06976744186046502,-1.0,-0.3846153846153846,-0.5555555555555556,1.0,"2018-08-01T12:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,-2.220446049250313E-16,-1.0,-0.3846153846153846,-0.5555555555555556,1.0,"2018-08-01T13:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,-0.06976744186046524,-1.0,-0.3846153846153846,-0.5555555555555556,1.0,"2018-08-01T14:00:00.0"
0.3157894736842104,-0.75,-0.4883720930232558,-0.9253208868144691,0.6923076923076916,-0.9351851851851852,-0.13953488372093048,-1.0,-0.3846153846153846,-0.5555555555555556,1.0,"2018-08-01T15:00:00.0"
0.42105263157894735,-0.75,-0.5813953488372093,-0.9393232205367561,0.6923076923076916,-0.9490740740740741,-0.2325581395348839,-1.0,-0.23076923076923073,-0.5555555555555556,1.0,"2018-08-01T16:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,-0.2790697674418605,-1.0,-0.07692307692307687,-0.5555555555555556,1.0,"2018-08-01T17:00:00.0"
0.42105263157894735,-0.75,-0.5813953488372093,-0.9393232205367561,0.6923076923076916,-0.9490740740740741,-2.220446049250313E-16,-1.0,-0.6923076923076923,-0.5555555555555556,1.0,"2018-08-01T18:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.09302325581395343,-1.0,-0.5384615384615384,-0.5555555555555556,0.0,"2018-08-01T19:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.2790697674418603,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0,"2018-08-01T20:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.48837209302325557,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0,"2018-08-01T21:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.7209302325581395,-1.0,-1.0,-0.5555555555555556,-1.0,"2018-08-01T22:00:00.0"
0.42105263157894735,-0.75,-0.5813953488372093,-0.9393232205367561,0.6923076923076916,-0.9490740740740741,0.6046511627906974,-1.0,-1.0,-0.5555555555555556,-1.0,"2018-08-01T23:00:00.0"
0.05263157894736836,-0.75,-0.2558139534883721,-0.8739789964994167,0.6923076923076916,-0.8842592592592593,0.48837209302325557,-0.48,-0.5384615384615384,-0.4444444444444444,0.0,"2018-08-02T00:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.7209302325581395,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0,"2018-08-02T01:00:00.0"
0.8947368421052628,-0.75,-1.0,-0.9906651108518086,0.6923076923076916,-1.0,0.6046511627906974,-1.0,-1.0,-0.5555555555555556,-1.0,"2018-08-02T02:00:00.0"
