"current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff","humidity","cloudiness","wind_speed","weather_description","current_luminosity"
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.6976744186046511,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,1.0,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0
0.0,0.33333333333333304,-0.1428571428571429,-0.7926829268292681,-0.3333333333333339,-0.8298755186721991,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.8372093023255811,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.8372093023255811,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,1.0,-1.0,-1.0,-0.5555555555555556,1.0
0.5,0.33333333333333304,-0.7142857142857143,-0.9105691056910568,-0.2666666666666666,-0.9543568464730291,0.48837209302325557,-0.48,-0.5384615384615384,-0.4444444444444444,0.0
-0.25,0.33333333333333304,0.1428571428571428,-0.678861788617886,-0.3333333333333339,-0.7136929460580913,0.3720930232558137,-1.0,-0.6923076923076923,-0.5555555555555556,1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.2790697674418603,-1.0,-0.6923076923076923,-0.5555555555555556,1.0
-0.5,0.33333333333333304,0.4285714285714284,-0.49186991869918684,-0.3333333333333339,-0.5228215767634854,0.16279069767441845,-1.0,-0.5384615384615384,-0.5555555555555556,1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.06976744186046502,-1.0,-0.3846153846153846,-0.5555555555555556,1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,-2.220446049250313E-16,-1.0,-0.3846153846153846,-0.5555555555555556,1.0
0.25,0.33333333333333304,-0.4285714285714286,-0.8658536585365852,-0.3333333333333339,-0.9045643153526971,-0.06976744186046524,-1.0,-0.3846153846153846,-0.5555555555555556,1.0
0.0,0.33333333333333304,-0.1428571428571429,-0.7926829268292681,-0.3333333333333339,-0.8298755186721991,-0.13953488372093048,-1.0,-0.3846153846153846,-0.5555555555555556,1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,-0.2325581395348839,-1.0,-0.23076923076923073,-0.5555555555555556,1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,-0.2790697674418605,-1.0,-0.07692307692307687,-0.5555555555555556,1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,-2.220446049250313E-16,-1.0,-0.6923076923076923,-0.5555555555555556,1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.09302325581395343,-1.0,-0.5384615384615384,-0.5555555555555556,0.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.2790697674418603,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.48837209302325557,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.7209302325581395,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.6046511627906974,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.48837209302325557,-0.48,-0.5384615384615384,-0.4444444444444444,0.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.7209302325581395,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0
0.25,0.33333333333333304,-0.4285714285714286,-0.8658536585365852,-0.3333333333333339,-0.9045643153526971,0.6046511627906974,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.8372093023255811,-1.0,-0.8461538461538461,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,-1.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,0.8372093023255811,-1.0,-1.0,-0.5555555555555556,0.0
0.75,0.33333333333333304,-1.0,-0.9593495934959348,-0.3333333333333339,-1.0,1.0,-1.0,-1.0,-0.5555555555555556,1.0
